,,,,,,,,,,,,"""=LOOKUP(RAND(), $I$51:$I$54, $G$51:$G$54)""",,,,,,,,,,,Distance Between (km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,81,183.9,163.5166667,156.4333333,126.4666667,136.05,126.35,102.85,95.81666667,96.83333333,88.78333333,102.9166667,92,90.43333333,96.55,79.31666667,83.01666667,74.15,84.3,86.86666667,91.81666667,167.9166667,78.3,77.16666667,80.95,84.4,149.35,74.23333333,78.11666667,84.35,73.71666667,80.73333333,67.5,84.86666667,76.63333333,234.4,119.15,94.21666667,66.4,67.15,85.4,67.56666667,68.6,64.35,58.85,60.23333333,64.48333333,61.95,81.13333333,58.78333333,54.5,336.0166667,51.11666667,94.63333333,50.66666667,55.8,52.9,67.71666667,101.35,52.03333333,51.75,55.98333333,58.23333333,64.98333333,58.38333333,43.95,51.01666667,50.56666667,52.43333333,59.1,83.23333333,38.71666667,130.5833333,58.35,43.51666667,111.6,167.9666667,55.08333333,49.86666667,15,99.41666667,53.73333333,0,86.25,28.08333333,22.3,29.93333333,29.3,34.31666667,31.9,36.08333333,77.58333333,53.43333333,108.2833333,270.4666667,56.21666667,58.45,81.01666667,258.1666667,94.83333333,83.01666667,88.48333333,80.95,101.6666667,452.1166667,112.4333333,102.5,109.8333333,142.5666667,132.6166667,548.25,151.6666667,149.7666667,453.5333333,425.55,48.55,182.8666667,162.9833333,177.8833333,155.2166667,127.5666667,121.9333333,126.35,87.31666667,89.55,86.9,82.73333333,169.8333333,73.4,148.7666667,72.7,77.8,72.3,70.01666667,80.2,68.96666667,118.5833333,239.8666667,64.78333333,61.63333333,58.93333333,60.4,63.46666667,63.76666667,95.81666667,49.81666667,54.66666667,56.33333333,101.4166667,127.1,42.5,50.55,56.5,166.6166667,49.11666667,100.7333333,57.45,85.53333333,28.03333333,25.71666667,32.93333333,53.28333333,56.1,60.63333333,107.6833333,257.85,78.68333333,92.68333333,106.05,108.8666667,144.3333333,154.7166667,452.55,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,82,218.7,198.3166667,191.2333333,161.25,174.7666667,165.0833333,140.9,134.55,131.6333333,127.5166667,107.0666667,126.7833333,91.95,135.2833333,114.1166667,87.16666667,112.8833333,84.58333333,121.6666667,81.06666667,206.6333333,117.0333333,111.9666667,84.2,123.1333333,188.0666667,112.9666667,112.9,117.55,112.4333333,119.45,106.2333333,123.5833333,105.5,273.1333333,157.8833333,132.9333333,105.1333333,101.2833333,124.1333333,106.3,107.3333333,103.0833333,93.65,90.51666667,103.2,91.28333333,119.8666667,97.5,83,374.7333333,79.61666667,133.35,86.5,94.53333333,80.68333333,106.4333333,140.0666667,77.96666667,90.48333333,66.51666667,96.96666667,55.9,97.1,82.25,69.06666667,64.25,91.15,69.4,136.6833333,86.81666667,169.3166667,58.6,61.68333333,167.7,206.6833333,48.5,119.6333333,82.95,178.8333333,41.86666667,87.61666667,0,66.03333333,99.98333333,68.08333333,73.16666667,63.85,75.73333333,64.4,38.9,51.6,177.5666667,309.1833333,81.06666667,110.8333333,149.85,296.9,69.9,79.06666667,84.53333333,76.98333333,99.23333333,490.8333333,181.6666667,98.53333333,139.3333333,137.7833333,128.65,586.9833333,146.9,145.8166667,435.1,421.6,87.23333333,217.6666667,197.7833333,216.6,190,162.3666667,156.7166667,165.0666667,122.1,93.43333333,90.58333333,117.5333333,208.5666667,112.1166667,187.5,111.4333333,112.6,109.9166667,108.75,109.05,97.81666667,157.3166667,278.5833333,103.5,100.3666667,88.45,85.26666667,69.23333333,70.03333333,134.5333333,78.71666667,73.06666667,95.05,140.15,165.8166667,81.4,64.23333333,56.93333333,205.35,120.05,178.75,41.1,4.716666667,66.25,70.06666667,63.01666667,51.45,128.4166667,56.68333333,176.9666667,296.5833333,74.71666667,108.1666667,165.4666667,138.3666667,140.3833333,149.95,433.9166667,421.0333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,83,174.5333333,154.15,147.0666667,117.0833333,126.6833333,116.9833333,93.48333333,86.45,87.46666667,79.41666667,93.53333333,82.63333333,81.06666667,87.18333333,69.95,73.65,64.78333333,74.93333333,77.5,82.45,158.55,68.93333333,67.8,71.56666667,75.03333333,139.9833333,64.86666667,68.73333333,74.98333333,64.35,71.36666667,58.13333333,75.48333333,67.26666667,225.0333333,109.7833333,84.85,57.03333333,57.78333333,76.03333333,58.2,59.23333333,54.98333333,49.48333333,50.86666667,55.11666667,52.58333333,71.76666667,49.41666667,45.13333333,326.65,41.75,85.25,41.3,46.43333333,43.53333333,58.35,91.98333333,42.66666667,42.38333333,46.61666667,48.86666667,56.6,49,34.58333333,41.65,41.18333333,43.05,49.71666667,88.58333333,29.35,121.2166667,48.98333333,34.15,119.6,158.5833333,39.76666667,71.53333333,23.01666667,121.0666667,31.43333333,26.48333333,65.83333333,0,43.95,12.91666667,18.83333333,19.38333333,21.4,21.16666667,57.16666667,33.01666667,123.2333333,261.1,41.3,57.75,95.53333333,248.8,74.4,62.6,68.06666667,60.53333333,81.25,442.7333333,127.35,82.08333333,96.81666667,122.15,112.2,538.8833333,131.25,129.35,444.1666667,405.1333333,39.18333333,173.5,153.6166667,168.5166667,145.85,118.2,112.55,116.9666667,77.93333333,80.16666667,77.53333333,73.36666667,160.4666667,64.01666667,139.4,63.33333333,68.43333333,62.93333333,60.65,70.81666667,59.6,109.2166667,230.4833333,55.41666667,52.26666667,49.56666667,51.03333333,54.1,54.4,86.43333333,40.45,45.3,46.96666667,92.05,117.7166667,33.11666667,41.18333333,48.11666667,157.25,70.76666667,122.3833333,35.15,65.11666667,1.083333333,15.73333333,18.01666667,32.86666667,74.08333333,40.21666667,122.6333333,248.4833333,58.25,77.76666667,115.8166667,95.86666667,123.9166667,134.3,443.1833333,404.5666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,84,196.55,176.1666667,169.0833333,139.1,148.7,139,115.5,108.4666667,109.4833333,101.4333333,117.9166667,104.65,105.4333333,110.0833333,91.96666667,98.01666667,86.8,99.3,99.51666667,106.8166667,163.7,90.95,89.81666667,95.95,97.05,145.1333333,86.88333333,90.75,97,86.36666667,90.46666667,80.15,87.28333333,89.28333333,230.2,114.95,97.36666667,79.05,79.8,80.4,80.21666667,81.25,77,71.5,72.88333333,77.13333333,74.6,76.93333333,71.43333333,67.15,331.8,63.76666667,90.41666667,63.31666667,68.45,65.55,69.65,97.13333333,64.68333333,64.4,70.98333333,62.16666667,81.95,65.56666667,56.6,62.43333333,66.53333333,61.43333333,74.1,70.46666667,52.81666667,126.2333333,76.25,61.4,98.83333333,163.75,72.96666667,37.1,32.9,85.61666667,69.03333333,20.13333333,101.2333333,43.38333333,0,38.61666667,35.75,43.6,30.13333333,45.15,92.86666667,68.71666667,87.78333333,266.25,63.58333333,49.68333333,62.1,253.9666667,110.1166667,98.31666667,103.7833333,96.25,113.9,447.9,95.45,117.8,97.41666667,157.85,147.9,544.05,166.9666667,165.0666667,449.3166667,440.85,61.2,195.5166667,175.6333333,190.5333333,167.85,140.2166667,134.5666667,138.9833333,99.95,104.55,101.9,95.38333333,165.6333333,86.03333333,144.5666667,85.35,90.45,84.95,82.66666667,92.83333333,81.61666667,114.3833333,235.65,77.43333333,74.28333333,71.58333333,73.05,78.46666667,78.76666667,91.6,62.46666667,67.31666667,68.98333333,97.21666667,122.8833333,55.13333333,65.61666667,74.38333333,162.4166667,36.33333333,86.95,72.75,100.5166667,43.33333333,35.2,42.21666667,68.58333333,35.6,75.93333333,87.18333333,253.65,93.96666667,91.9,89.05,96.45,159.6333333,170.0166667,448.3333333,440.2833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,85,180.6166667,160.2333333,153.15,123.1666667,132.7666667,123.0666667,99.56666667,92.53333333,93.55,85.5,99.63333333,88.71666667,87.15,93.26666667,76.03333333,79.73333333,70.86666667,81.01666667,83.58333333,88.53333333,164.6333333,75.01666667,73.88333333,77.66666667,81.11666667,146.0666667,70.95,74.83333333,81.06666667,70.43333333,77.45,64.21666667,81.56666667,73.35,231.1166667,115.8666667,90.93333333,63.11666667,63.86666667,82.11666667,64.28333333,65.31666667,61.06666667,55.56666667,56.95,61.2,58.66666667,77.85,55.5,51.21666667,332.7333333,47.83333333,91.33333333,47.38333333,52.51666667,49.61666667,64.43333333,98.06666667,48.75,48.46666667,52.7,54.95,61.7,55.1,40.66666667,47.73333333,47.28333333,49.13333333,55.8,94.66666667,35.43333333,127.3,55.06666667,40.23333333,125.6833333,164.6666667,46.96666667,75.21666667,29.1,122.8,39.48333333,30.11666667,69.3,12.18333333,41.85,0,15.03333333,15.4,17.58333333,17.16666667,59.71666667,35.56666667,119.4166667,267.1833333,37.3,53.93333333,91.71666667,254.8833333,76.96666667,65.16666667,70.61666667,63.08333333,83.81666667,448.8166667,123.5333333,84.63333333,92.83333333,124.7,114.75,544.9666667,133.8166667,131.9166667,450.25,407.7,45.26666667,179.5833333,159.7,174.6,151.9333333,124.2833333,118.6333333,123.05,84.01666667,86.26666667,83.61666667,79.45,166.55,70.1,145.4833333,69.41666667,74.51666667,69.01666667,66.73333333,76.91666667,65.68333333,115.3,236.5666667,61.5,58.35,55.65,57.11666667,60.18333333,60.48333333,92.51666667,46.53333333,51.38333333,53.05,98.13333333,123.8,39.2,47.26666667,53.21666667,163.3333333,74.45,124.1166667,43.18333333,68.56666667,12.4,12.28333333,14.01666667,35.43333333,70.28333333,42.78333333,118.8333333,254.5666667,60.81666667,73.76666667,112.0166667,91.86666667,126.4833333,136.8666667,449.2666667,407.1333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,86,186.05,165.6666667,158.5833333,128.6,138.1833333,128.5,105,97.96666667,98.98333333,90.93333333,105.05,94.13333333,92.58333333,98.7,81.46666667,85.16666667,76.3,86.45,89.01666667,93.96666667,170.05,80.45,79.31666667,83.08333333,86.55,151.4833333,76.36666667,80.25,86.5,75.85,82.86666667,69.63333333,87,78.78333333,236.55,121.3,96.35,68.55,69.28333333,87.55,69.71666667,70.75,66.5,61,62.38333333,66.61666667,64.1,83.28333333,60.91666667,56.65,338.15,53.26666667,96.76666667,52.81666667,57.93333333,55.05,69.85,103.4833333,54.16666667,53.9,58.13333333,60.38333333,67.11666667,60.51666667,46.1,53.16666667,52.7,54.56666667,61.23333333,101.1,40.85,132.7333333,60.5,45.65,129.4666667,170.1,52.38333333,67.73333333,35.55,116.2333333,44.9,28.55,73.51666667,17.6,35.31666667,10.9,0,15.88333333,11.01666667,12.63333333,65.15,41,112.85,272.6,37.78333333,47.36666667,85.15,260.3166667,82.4,70.58333333,76.05,68.51666667,86.18333333,454.25,116.9666667,90.06666667,92.2,130.1333333,120.1833333,550.4,139.2333333,137.3333333,455.6666667,413.1166667,50.7,185.0166667,165.1333333,180.0166667,157.35,129.7166667,124.0666667,128.4833333,89.45,91.68333333,89.03333333,84.86666667,171.9833333,75.53333333,150.9166667,74.85,79.95,74.45,72.16666667,82.33333333,71.11666667,120.7333333,242,66.91666667,63.78333333,61.08333333,62.55,65.61666667,65.9,97.95,51.96666667,56.81666667,58.46666667,103.5666667,129.2333333,44.63333333,52.7,58.65,168.7666667,66.96666667,117.55,48.61666667,72.8,17.83333333,7.483333333,14.5,40.85,63.7,48.2,112.25,260,66.25,74.25,105.4333333,91.23333333,131.9166667,142.2833333,454.6833333,412.5666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,87,186.5666667,166.1833333,159.1,129.1333333,138.7166667,129.0166667,105.5166667,98.48333333,99.5,91.46666667,105.5833333,94.66666667,93.1,99.21666667,81.98333333,85.68333333,76.81666667,86.96666667,89.53333333,94.48333333,170.5833333,80.96666667,79.83333333,83.61666667,87.06666667,152.0166667,76.9,80.78333333,87.01666667,76.38333333,83.4,70.16666667,87.53333333,79.31666667,237.0666667,121.8333333,96.88333333,69.06666667,69.81666667,88.06666667,70.23333333,71.26666667,67.01666667,61.51666667,62.9,67.15,64.61666667,83.8,61.45,57.16666667,338.6833333,53.8,97.3,53.33333333,58.46666667,55.56666667,70.38333333,104.0166667,54.7,54.41666667,58.65,60.9,67.65,61.05,46.61666667,53.68333333,53.23333333,55.1,61.76666667,100.6166667,41.38333333,133.2666667,61.01666667,46.18333333,131.6333333,170.6333333,52.91666667,76.06666667,35.06666667,124.2833333,44.68333333,32.96666667,63.86666667,18.13333333,43.33333333,11.43333333,16.5,0,19.06666667,11.7,63.03333333,38.88333333,120.9,273.1333333,32.9,55.41666667,93.2,260.85,80.28333333,68.46666667,73.93333333,66.4,81.3,454.7833333,125.0166667,87.95,88.43333333,128.0166667,118.0666667,550.9166667,137.1166667,135.2166667,456.2,411,51.21666667,185.5333333,165.65,180.55,157.8833333,130.25,124.6,129.0166667,89.98333333,92.21666667,89.56666667,85.4,172.5,76.06666667,151.4333333,75.36666667,80.46666667,74.96666667,72.68333333,82.86666667,71.65,121.2666667,242.5333333,67.45,64.3,61.61666667,63.06666667,66.13333333,66.43333333,98.48333333,52.48333333,57.33333333,59,104.0833333,129.7666667,45.16666667,53.21666667,59.16666667,169.2833333,75.31666667,125.6,45.6,63.13333333,18.36666667,13.4,1.116666667,38.73333333,71.76666667,46.08333333,120.3,260.5166667,64.13333333,69.36666667,113.5,87.46666667,129.7833333,140.1666667,455.2166667,410.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,88,188.8666667,168.4833333,161.4,131.4166667,141,131.3166667,107.8166667,100.7833333,101.8,93.75,107.8666667,96.95,95.4,101.5166667,84.28333333,87.98333333,79.11666667,89.25,91.81666667,96.78333333,172.8666667,83.26666667,82.13333333,85.9,89.36666667,154.3,79.18333333,83.06666667,89.31666667,78.66666667,85.68333333,72.45,89.81666667,81.6,239.3666667,124.1166667,99.16666667,71.36666667,72.1,90.36666667,72.53333333,73.56666667,69.31666667,63.81666667,65.2,69.43333333,66.91666667,86.1,63.73333333,59.46666667,340.9666667,56.08333333,99.58333333,55.63333333,60.75,57.86666667,72.66666667,106.3,56.98333333,56.71666667,60.95,63.2,69.93333333,63.33333333,48.9,55.96666667,55.51666667,57.38333333,64.05,97.8,43.66666667,135.55,63.31666667,48.46666667,125.8333333,172.9166667,55.2,64.43333333,38.06666667,111.7333333,47.71666667,31.06666667,76.33333333,20.41666667,30.8,13.71666667,10.85,18.7,0,19.3,67.96666667,43.81666667,108.35,275.4166667,40.6,42.86666667,80.65,263.1333333,85.21666667,73.4,78.86666667,71.33333333,89,457.0666667,112.4666667,92.88333333,85.95,132.95,123,553.2166667,142.05,140.15,458.4833333,415.9333333,53.51666667,187.8333333,167.95,182.8333333,160.1666667,132.5333333,126.8833333,131.3,92.26666667,94.5,91.85,87.68333333,174.8,78.35,153.7333333,77.65,82.76666667,77.26666667,74.96666667,85.15,73.93333333,123.55,244.8166667,69.73333333,66.6,63.9,65.36666667,68.43333333,68.71666667,100.7666667,54.78333333,59.63333333,61.28333333,106.3833333,132.05,47.45,55.51666667,61.46666667,171.5833333,63.68333333,113.05,51.43333333,75.61666667,20.65,10.3,17.31666667,43.66666667,59.2,51.01666667,107.75,262.8166667,69.06666667,74.68333333,100.9333333,84.98333333,134.7333333,145.1,457.5,415.3833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,89,189.0666667,168.7,161.6166667,131.6333333,141.2166667,131.5333333,108.0166667,101,102,93.96666667,108.0833333,97.16666667,95.61666667,101.7333333,84.5,88.18333333,79.31666667,89.46666667,92.03333333,97,173.0833333,83.48333333,82.35,86.11666667,89.56666667,154.5166667,79.4,83.28333333,89.51666667,78.88333333,85.9,72.66666667,90.03333333,81.81666667,239.5833333,124.3333333,99.38333333,71.56666667,72.31666667,90.56666667,72.75,73.78333333,69.53333333,64.03333333,65.41666667,69.65,67.13333333,86.31666667,63.95,59.66666667,341.1833333,56.3,99.8,55.83333333,60.96666667,58.08333333,72.88333333,106.5166667,57.2,56.93333333,61.16666667,63.4,70.15,63.55,49.11666667,56.18333333,55.73333333,57.6,64.26666667,103.1333333,43.88333333,135.7666667,63.53333333,48.68333333,134.15,173.1333333,55.41666667,78,37.56666667,126.5666667,45.51666667,35.46666667,64.68333333,20.63333333,46.65,13.93333333,14.56666667,12.2,20.05,0,63.85,39.7,120.6333333,275.6333333,30.13333333,52.83333333,92.33333333,263.35,81.1,69.3,70.88333333,67.21666667,78.53333333,457.2833333,122.4333333,88.78333333,85.18333333,128.8333333,118.8833333,553.4166667,137.95,136.05,458.7,411.8333333,53.71666667,188.05,168.1666667,183.05,160.3833333,132.75,127.1,131.5166667,92.48333333,94.71666667,92.06666667,87.9,175.0166667,78.56666667,153.95,77.86666667,82.98333333,77.46666667,75.18333333,85.36666667,74.15,123.7666667,245.0333333,69.95,66.81666667,64.11666667,65.56666667,68.65,68.93333333,100.9833333,54.98333333,59.85,61.5,106.5833333,132.2666667,47.66666667,55.71666667,61.66666667,171.8,77.23333333,127.8833333,46.41666667,63.96666667,20.86666667,16.66666667,10.26666667,39.56666667,71.53333333,46.91666667,120.0333333,263.0166667,64.95,66.6,109.65,84.21666667,130.6166667,141,457.7166667,411.2666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,90,224.7,204.3333333,197.25,167.2666667,176.85,167.1666667,143.6666667,136.6333333,137.6333333,129.6,125.0666667,132.8,112.6,137.3666667,120.1333333,105.1666667,114.9666667,106.45,127.6666667,115.7833333,208.7166667,119.1166667,117.9833333,103.1,125.2,190.15,115.0333333,118.9166667,125.1666667,114.5166667,121.5333333,108.3,125.6666667,117.9666667,275.2166667,159.9666667,135.0166667,107.2,107.95,126.2,108.3833333,109.4166667,105.1666667,99.66666667,101.05,105.2833333,102.7666667,121.95,99.58333333,95.3,376.8166667,91.93333333,135.4333333,91.48333333,96.6,93.71666667,108.5166667,142.15,90.43333333,92.56666667,80.33333333,99.03333333,78.66666667,99.18333333,84.75,81.55,76.73333333,93.23333333,83.21666667,138.7666667,79.51666667,171.4,72.88333333,74.16666667,169.7833333,208.7666667,62.53333333,122.9,73.2,172.45,53.4,77.85,38.85,56.26666667,93.5,61.11666667,66.66666667,64.48333333,69.23333333,65.03333333,0,29.1,169.0833333,311.2666667,57.23333333,95.45,140.7833333,298.9833333,37.33333333,44.3,49.76666667,42.21666667,64.46666667,492.9166667,165.2666667,63.76666667,107.5166667,103.8333333,93.88333333,589.0666667,112.95,111.05,400.3333333,386.8333333,89.35,223.6833333,203.8,218.6833333,196.0166667,168.3833333,162.7333333,167.15,128.1166667,111.7,109.05,123.5333333,210.65,114.2,189.5833333,113.5,118.6166667,113.1,110.8166667,121.5166667,110.3,159.4,280.6666667,105.5833333,102.45,99.75,97.75,85.61666667,85.91666667,136.6166667,91.2,85.55,97.13333333,142.2333333,167.9,83.3,76.71666667,70.18333333,207.4333333,122.15,173.7666667,52.65,38.13333333,56.5,63.56666667,63.65,28.96666667,119.7166667,21.91666667,168.4833333,298.6666667,39.95,76.35,144.9,106.55,105.6166667,116,399.15,386.2666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,91,202.2333333,181.85,174.7666667,144.7833333,154.3666667,144.6833333,121.1833333,114.15,115.1666667,107.1166667,102.5833333,110.3166667,90.11666667,114.8833333,97.65,82.68333333,92.48333333,83.96666667,105.1833333,91.5,186.2333333,96.63333333,95.5,80.61666667,102.7333333,167.6666667,92.55,96.43333333,102.6833333,92.03333333,99.05,85.81666667,103.1833333,95.48333333,252.7333333,137.4833333,112.5333333,84.73333333,85.46666667,103.7333333,85.9,86.93333333,82.68333333,77.18333333,78.56666667,82.8,80.28333333,99.46666667,77.1,72.83333333,354.3333333,69.45,112.95,69,74.11666667,71.23333333,86.03333333,119.6666667,67.95,70.08333333,57.85,76.56666667,56.18333333,76.7,62.26666667,59.06666667,54.25,70.75,60.73333333,116.2833333,57.03333333,148.9166667,50.4,51.68333333,147.3,186.2833333,40.05,100.4166667,50.71666667,149.9666667,30.93333333,55.36666667,51.7,33.78333333,71.01666667,38.63333333,44.2,42,46.75,42.55,29.41666667,0,147.3666667,288.7833333,39.5,76.23333333,119.0666667,276.5,46.66666667,34.86666667,40.31666667,32.78333333,55.03333333,470.4333333,147.1666667,54.33333333,93.76666667,94.4,84.45,566.5833333,103.5166667,101.6166667,390.9,377.3833333,66.88333333,201.2,181.3166667,196.2,173.5333333,145.9,140.25,144.6666667,105.6333333,89.21666667,86.56666667,101.05,188.1666667,91.71666667,167.1,91.01666667,96.13333333,90.63333333,88.33333333,99.05,87.81666667,136.9166667,258.1833333,83.1,79.96666667,77.26666667,75.26666667,63.15,63.43333333,114.1333333,68.71666667,63.06666667,74.65,119.75,145.4166667,60.81666667,54.23333333,47.7,184.95,99.66666667,151.2833333,30.16666667,50.98333333,34.01666667,41.1,41.16666667,3.283333333,97.98333333,12.48333333,146.7666667,276.1833333,30.51666667,62.6,128.5,92.8,96.18333333,106.5666667,389.7166667,376.8333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,92,256.9833333,236.6,229.5166667,199.55,210.35,200.65,177.15,170.1166667,169.9166667,163.0833333,199.65,166.6833333,187.1833333,161.2666667,154.8833333,179.7666667,148.45,181.0333333,162.4333333,188.5666667,168.8166667,152.6,152.7333333,177.6833333,155.9166667,150.25,148.5333333,153.6666667,159.9166667,148.0166667,141.65,141.8,138.4666667,152.1666667,235.3166667,116.0333333,146.0666667,140.7,142.7166667,131.5833333,141.8666667,138.2333333,138.65,134.4166667,135.7666667,132.55,137.3333333,119.75,134.6333333,130.6,336.9166667,134.7333333,106.5,131.8166667,127.8666667,134.1,120.8333333,97.36666667,139.55,121.7166667,152.7333333,117.15,163.6833333,120.55,133.4833333,143.65,149.1833333,125.75,155.8333333,100.3333333,130.9833333,108.35,163.1666667,149.55,79.41666667,155.9333333,161.1333333,88.85,121.05,51.6,151.4666667,108.2833333,180.0833333,124.1666667,89.55,117.4666667,114.5833333,122.4333333,108.9666667,120.8833333,170,147.1166667,0,258.4333333,116.3166667,87.83333333,49.18333333,246.15,184.8,159.0666667,156.0166667,170.1833333,160.1833333,440.0833333,48.76666667,171.65,109.6166667,230.5666667,192.6166667,549.15,226.8833333,209.7833333,441.5166667,457.0333333,127.2,255.95,236.0666667,252.1833333,228.3,200.6666667,195.0166667,200.65,162.8666667,186.2833333,183.6333333,158.3,170.7333333,147.7,149.6666667,147,153.0666667,146.6,144.3166667,155.7333333,144.5,117.8666667,240.7666667,134.4,133.55,134.4666667,135.7833333,160.2166667,160.5,108.4166667,137.3666667,142.2166667,127.0833333,96.83333333,115.0666667,131.6833333,147.3666667,160.5,154.6,88.66666667,48.91666667,155.1833333,179.3666667,124.4,114.05,121.0666667,146.8166667,56.5,153.05,1.016666667,245.8333333,167.9166667,130.05,71,108.7833333,204.35,243.9666667,440.5333333,454.8666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,93,339.5166667,319.1333333,312.0666667,282.0833333,269.9833333,273.35,259.6833333,252.65,252.45,245.6333333,303.25,249.2166667,290.7833333,241.5,237.8666667,283.35,230.9833333,284.6333333,245.4,292.1666667,161.6,235.15,235.7166667,281.2833333,236.15,166.2166667,231.0666667,236.65,242.0333333,231.15,221.4,224.3333333,218.7,242.9333333,93.38333333,170.9333333,226.7833333,223.2333333,231.2666667,211.8166667,224.4166667,218.05,219.1166667,222.0166667,232.1333333,212.35,234.3166667,198.3833333,223.55,234.3666667,150.2666667,238.5,181.4833333,235.5833333,225.0833333,237.8666667,223.05,179.3,243.15,228.5833333,256.3333333,235.0666667,267.2833333,235.2166667,237.0833333,247.25,252.7666667,237.2166667,259.4333333,201.3333333,236.5333333,163.8666667,266.7666667,256.25,183.1833333,110.0166667,263.9666667,233.1666667,261.9166667,208.95,278.7833333,268.6833333,307.1166667,261.8666667,266.2,266.45,272.3666667,272.9166667,274.9333333,274.7,310.6833333,286.5333333,256.8833333,0,294.8333333,290.3833333,258.4333333,20.48333333,327.9333333,316.1333333,321.6,314.05,334.7833333,198.1333333,290.6,335.6166667,325.8166667,375.6666667,365.7166667,310.45,384.7833333,382.8833333,212.9666667,228.4833333,230.8,338.4833333,318.6,318.2333333,310.8333333,283.2,277.55,275.1166667,246.4166667,289.8833333,287.2333333,241.2666667,163.5333333,230.2333333,165.6333333,229.5333333,235.6,229.1333333,226.85,249.0166667,240.8666667,172.7666667,89.36666667,214.2166667,213.3666667,230.8333333,231.9166667,263.8,264.1,183.9333333,240.9333333,245.1833333,225.6166667,179.0166667,145.55,235.45,250.95,264.1,108.6833333,233.5833333,208.8666667,274.5333333,308.7833333,261.8166667,269.2666667,271.5333333,286.4,258.0166667,293.75,256.2,20.16666667,311.7833333,331.2833333,302.4,324.8666667,377.45,387.8333333,211.9833333,226.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,94,208.7,188.3333333,181.25,151.2666667,160.85,151.1666667,127.65,120.6333333,121.6333333,113.6,127.7166667,116.8,115.25,121.3666667,104.1333333,107.8166667,98.95,109.1,111.6666667,116.6333333,192.7166667,103.1166667,101.9833333,105.75,109.2,174.15,99.03333333,102.9166667,109.15,98.51666667,105.5333333,92.3,109.6666667,101.45,259.2166667,143.9666667,119.0166667,91.2,91.95,110.2,92.38333333,93.41666667,89.16666667,83.66666667,85.05,89.28333333,86.76666667,105.95,83.58333333,79.3,360.8166667,75.93333333,119.4333333,75.46666667,80.6,77.71666667,92.51666667,126.15,76.83333333,76.56666667,80.8,83.03333333,86.4,83.18333333,68.75,75.81666667,75.36666667,77.23333333,83.9,121.0166667,63.51666667,155.4,80.63333333,68.31666667,145.7333333,192.7666667,70.28333333,88.18333333,57.2,131.6333333,61.15,55.1,80.93333333,40.26666667,64.08333333,33.56666667,38.65,31.26666667,41.21666667,31.2,56.61666667,39.71666667,114.8833333,295.2666667,0,43.36666667,86.58333333,282.9833333,73.85,53.25,50.8,59.98333333,57.36666667,476.9166667,113.1833333,68.83333333,61.36666667,121.6,98.71666667,573.05,130.7,115.8833333,405.1666667,391.6666667,73.35,207.6833333,187.8,202.6833333,180.0166667,152.3833333,146.7333333,151.15,112.1166667,114.35,111.7,107.5333333,194.65,98.2,173.5833333,97.5,102.6166667,97.1,94.81666667,105,93.78333333,143.4,264.6666667,89.58333333,86.45,83.75,85.2,88.28333333,88.56666667,120.6166667,74.61666667,79.48333333,81.13333333,126.2166667,151.9,67.3,75.35,77.93333333,191.4333333,87.41666667,132.9666667,60.38333333,80.21666667,40.5,35.55,29.9,38.93333333,65.51666667,39.66666667,114.2833333,282.65,57.7,41.15,93.35,60.4,110.45,133.75,403.9833333,391.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
